time,open,high,low,close,Volume,Volume MA,RSI
1625322600,2236.96,2238.07,2225.35,2225.87,6838.76793,6877.658301999994,60.281290885302894
1625323500,2225.94,2229.18,2222.31,2228.99,3187.5544,6624.114648999994,64.15861159929688
1625324400,2229.0,2234.39,2226.38,2231.25,4379.13963,6475.476569999994,60.663050030138635
1625325300,2231.35,2234.08,2222.11,2227.0,3232.25129,6358.5888199999945,51.651809124278955
1625326200,2227.27,2227.56,2216.5,2223.82,6320.18731,6309.449483499994,51.22204888195534
1625327100,2223.83,2228.53,2222.1,2224.75,4856.49137,6314.198079499994,55.97501734906326
1625328000,2224.89,2230.48,2215.62,2216.05,9853.02265,6552.886612999993,49.106018635104746
1625328900,2216.06,2221.3,2215.92,2217.78,3157.23289,6257.197044499993,53.89704909355588
1625329800,2217.78,2223.62,2212.17,2214.0,4573.62646,6020.270179499994,41.00213871066279
1625330700,2213.99,2219.99,2210.58,2211.75,3077.51302,5929.093630999993,42.95774647887304
1625331600,2211.82,2219.88,2211.6,2217.34,3442.54859,5334.542081499993,32.14013709063236
1625332500,2217.44,2225.49,2214.29,2223.05,3572.9676,5326.229903499993,40.46211714132218
1625333400,2222.97,2237.72,2219.78,2235.17,7577.97243,5474.252153499992,48.62442040185491
1625334300,2235.17,2236.66,2224.0,2224.87,3800.11623,5398.733553999993,49.21777221526908
1625335200,2224.88,2226.78,2216.23,2219.75,4886.63506,5327.416012499993,42.991504854369104
1625336100,2219.75,2219.75,2209.13,2213.31,6219.52792,5314.029175999994,37.20399429386585
1625337000,2213.49,2223.07,2213.44,2221.8,2802.00916,5218.541576499993,46.502555824589855
1625337900,2221.99,2225.8,2217.47,2217.85,3246.39898,4848.276847999993,46.02582878444934
1625338800,2217.85,2224.48,2215.0,2221.41,2261.89495,4625.178448999994,47.85181373810129
1625339700,2221.21,2223.07,2217.28,2217.53,1699.56661,4449.271223999993,51.01481075150851
1625340600,2217.53,2224.47,2216.6,2223.11,2091.50759,4211.908206999992,53.47140810212315
1625341500,2223.12,2228.43,2220.1,2225.35,3521.30201,4228.595587499993,57.54353316496073
